full_text_comments,full_text_comments_preprocessed
Semakin hari semakin terbuka kalau Presiden @prabowo tidak independen dan ada sosok yang atur beliau dalam menjalankan roda pemerintahan.,buka presiden independen sosok atur beliau jalan roda perintah
#intinyadeh lebih dr 100 org Indonesia kabur dr Chrey Thum Kamboja. Mereka ngaku ditipu agen penyalur kerja diperlakukan dgn kekerasan sama perusahaan salah satu pekerja wanita dicambuk. Mereka kerja utk perusahaan love scamming. Kemenlu: 110 org udh berhasil dipulangkan.,intinyadeh org indonesia kabur chrey thum kamboja ngaku tipu agen salur kerja laku dgn keras usaha salah kerja wanita cambuk kerja utk usaha love scamming kemenlu org udh hasil pulang
@susipudjiastuti @prabowo https://t.co/UndQ2BCWIV,
@susipudjiastuti @prabowo ini termasuk korupsi gak sih bu...? sy pikir ya termasuk korupsi gak ada cukupnya mereka gak cuma mengelola juga merusak juga melebihi batasan zona yg ditetapkan.,korupsi sih pikir korupsi cukup kelola rusak lebih batas zona tetap
@susipudjiastuti @prabowo Perekonomian daerah sangat tergantung dengan komoditi tersebut. Dulu banyak petani komoditi tersebut yg sangat terbantu dg komoditi tersebut akan tetapi sekarang banyak sekali corporate besar yg melakukan perluasan ugal ugalan skala besar dengan menggunakan segala cara.,ekonomi daerah gantung komoditi tani komoditi bantu komoditi corporate luas ugal ugalan skala
@susipudjiastuti @prabowo Ibu bapak terhormat tahun 96an di Sumatra bikin ruko Beton 4 lantai ditanah gambut pondasi tulang pake kayu ulin. Orang rimba mau nikahin anaknya menanam seribu anggrek yg belum pernah seumur hidup saya lihat di pulau Jawa. Kenapa kita ga ke ekstraksi flora fauna asli Indonesia,hormat sumatra bikin ruko beton lantai tanah gambut pondasi tulang pake kayu ulin orang rimba nikahin anak tanam ribu anggrek umur hidup lihat pulau jawa ekstraksi flora fauna asli indonesia
@susipudjiastuti @prabowo berapa persen rasa optimis ibu @susipudjiastuti terhadap harapan tersebut bisa terkabul? kalau saya 99% pesimis,persen optimis harap kabul pesimis
@susipudjiastuti @prabowo Banyak gunung yang dikeruk buu pembukaan lahan dihutan lindung pembukaan lahan banyak banget buuuu satwa satwa kasihan buuu terutama oranghutan gajah burungrangkong cendrawasih jalak bali etc,gunung keruk buu buka lahan hut lindung buka lahan banget buuuu satwa satwa kasihan buuu oranghutan gajah burungrangkong cendrawasih jalak bal etc
@susipudjiastuti @prabowo Perusahaan ya sendiri ditertibkan ga yahh.... Padahal ada 13 pilik Prabowo. Mustahil.,usaha tertib yahh pilik prabowo mustahil
@susipudjiastuti @prabowo Bu @susipudjiastuti mohon maaf tulisannya saya revisi sedikit https://t.co/o0s2JqjnZ9,mohon maaf tulis revisi
@susipudjiastuti @prabowo Fokus kemanusiaan nya bantu korban bencana perbaikin infrastruktur ..pasti bapak prabowo tau lah siapa mafia mafianya naikan bencana nasional kok ribet amat ya.,fokus manusia bantu korban bencana perbaikin infrastruktur prabowo tau mafia mafia naik bencana nasional ribet
@susipudjiastuti @prabowo Setuju banget ibu!!! Saya berharap tokoh2 masyarakat cendekiawan dan orang berpengaruh satu suara atas isu kritis ini spt bu Susi..,tuju banget harap tokoh masyarakat cendekiawan orang pengaruh suara isu kritis spt sus
@susipudjiastuti @prabowo Negara isinya adalah rakyat tapi disini rakyat mana yang diuntungkan? Benar kata Ibu sudah tidak relevan memilah yang legal dan ilegal. Bencana korban kerusakan sudah terpampang di depan mata. Entahlah Pak @prabowo mau apalagi yang dipertimbangkan.,negara isi rakyat rakyat untung relevan mem legal ilegal bencana korban rusa pampang mata timbang
@susipudjiastuti @prabowo Itulah kalau pengusaha jadi penguasa. Gak Salah sih tapi batas conflict of interest nya setipis rambut,usaha kuasa salah sih batas conflict interest setip rambut
@susipudjiastuti @prabowo Ngapain ngetag dia bu dia cuma bisa omon2 memble kaya macan ompong,ngapain ngetag omon memble kaya macan ompong
@susipudjiastuti @prabowo Seperti susah bu Susi. Masalahnya lahan terbesar dari Kebon sawit itu juga milik Prabowo. ,susah sus lahan besar kebon sawit milik prabowo
@susipudjiastuti @prabowo : Maaf ga bs dihentikan Sharusnya ibu ga hnya mlihat brp krugian ngara stelah bncana brp krugian msyarakat apa lg keuntungan ngara hrusnya ibu lihat brp keuntungan yg sy &amp; koalisi sy dptkan. Ini hari tua sy bu jd lbih mmperhatikan jminan hari tua sy smpai ke neraka nanti,maaf henti sharusnya hnya mlihat brp krugian ngara stelah bncana brp krugian msyarakat untung ngara hrusnya lihat brp untung amp koalisi dptkan tua lbih mmperhatikan jminan tua smpai neraka
@susipudjiastuti @prabowo Kalau ganggu pemasukan perut susah. Pasti dilawan,ganggu pasu perut susah lawan
