conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16
1.999967238380794e+18,Sat Dec 13 22:18:41 +0000 2025,5464.0,Semakin hari semakin terbuka kalau Presiden @prabowo tidak independen dan ada sosok yang atur beliau dalam menjalankan roda pemerintahan.,Semakin hari semakin terbuka kalau Presiden @prabowo tidak independen dan ada sosok yang atur beliau dalam menjalankan roda pemerintahan.,1.999967238380794e+18,,,in,,21,85,1733,https://x.com/undefined/status/1999967238380794178,1.4328800798439877e+18,,
1.9848277845275448e+18,Sun Nov 02 03:39:54 +0000 2025,5210.0,#intinyadeh lebih dr 100 org Indonesia kabur dr Chrey Thum Kamboja. Mereka ngaku ditipu agen penyalur kerja diperlakukan dgn kekerasan sama perusahaan salah satu pekerja wanita dicambuk. Mereka kerja utk perusahaan love scamming. Kemenlu: 110 org udh berhasil dipulangkan.,#intinyadeh lebih dr 100 org Indonesia kabur dr Chrey Thum Kamboja. Mereka ngaku ditipu agen penyalur kerja diperlakukan dgn kekerasan sama perusahaan salah satu pekerja wanita dicambuk. Mereka kerja utk perusahaan love scamming. Kemenlu: 110 org udh berhasil dipulangkan.,1.9848277845275448e+18,,,in,,36,38,1515,https://x.com/undefined/status/1984827784527544817,1.5258806508294676e+18,,
2.000392181165732e+18,Mon Dec 15 02:27:16 +0000 2025,4049.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo https://t.co/UndQ2BCWIV,2.0005493301729403e+18,https://pbs.twimg.com/ext_tw_video_thumb/2000549274019672064/pu/img/ce7I5yotAVYG21F3.jpg,susipudjiastuti,qme,,0,0,0,https://x.com/undefined/status/2000549330172940603,1.846749067864625e+18,,
2.000392181165732e+18,Mon Dec 15 05:02:02 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo ini termasuk korupsi gak sih bu...? sy pikir ya termasuk korupsi gak ada cukupnya mereka gak cuma mengelola juga merusak juga melebihi batasan zona yg ditetapkan.,2.000431131196621e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000431131196621162,7.379212272312197e+17,,
2.000392181165732e+18,Mon Dec 15 04:32:06 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Perekonomian daerah sangat tergantung dengan komoditi tersebut. Dulu banyak petani komoditi tersebut yg sangat terbantu dg komoditi tersebut akan tetapi sekarang banyak sekali corporate besar yg melakukan perluasan ugal ugalan skala besar dengan menggunakan segala cara.,2.000423598474027e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000423598474027067,7.252738955828797e+17,,
2.000392181165732e+18,Mon Dec 15 03:48:52 +0000 2025,2.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Ibu bapak terhormat tahun 96an di Sumatra bikin ruko Beton 4 lantai ditanah gambut pondasi tulang pake kayu ulin. Orang rimba mau nikahin anaknya menanam seribu anggrek yg belum pernah seumur hidup saya lihat di pulau Jawa. Kenapa kita ga ke ekstraksi flora fauna asli Indonesia,2.000412718042579e+18,,susipudjiastuti,in,,0,0,1,https://x.com/undefined/status/2000412718042579054,1.9762710196997325e+18,,
2.000392181165732e+18,Mon Dec 15 05:12:59 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo berapa persen rasa optimis ibu @susipudjiastuti terhadap harapan tersebut bisa terkabul? kalau saya 99% pesimis,2.000433885537297e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000433885537296840,404887623.0,,
2.000392181165732e+18,Mon Dec 15 02:41:07 +0000 2025,13.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Banyak gunung yang dikeruk buu pembukaan lahan dihutan lindung pembukaan lahan banyak banget buuuu satwa satwa kasihan buuu terutama oranghutan gajah burungrangkong cendrawasih jalak bali etc,2.000395669010596e+18,,susipudjiastuti,in,,0,0,3,https://x.com/undefined/status/2000395669010596116,1.5372619585165804e+18,,
2.000392181165732e+18,Mon Dec 15 10:34:25 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Perusahaan ya sendiri ditertibkan ga yahh.... Padahal ada 13 pilik Prabowo. Mustahil.,2.0005147787716567e+18,,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000514778771656773,125982216.0,,
2.000392181165732e+18,Mon Dec 15 11:23:51 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Bu @susipudjiastuti mohon maaf tulisannya saya revisi sedikit https://t.co/o0s2JqjnZ9,2.0005272186620805e+18,https://pbs.twimg.com/media/G8NM5f-akAASuht.jpg,susipudjiastuti,in,,0,0,0,https://x.com/undefined/status/2000527218662080631,1.3052006467909468e+18,,
