Topic,Count,Name,Representation,Representative_Docs
-1,37,-1_banjir bandang_tanah longsor_bandang tanah_banjir,"['banjir bandang', 'tanah longsor', 'bandang tanah', 'banjir', 'hukum', 'subianto', 'bencana', 'presiden prabowo', 'dewan', 'presiden']","['breaking news lembaga bantuan hukum advokasi publik lbh pimpinan pusat menempuh jalur hukum presiden prabowo subianto menetapkan status bencana nasional peristiwa banjir bandang tanah longsor wilayah', 'breaking news lembaga bantuan hukum advokasi publik lbh pimpinan pusat menempuh jalur hukum presiden prabowo subianto menetapkan status bencana nasional peristiwa banjir bandang tanah longsor wilayah', 'breaking news lembaga bantuan hukum advokasi publik lbh pimpinan pusat menempuh jalur hukum presiden prabowo subianto menetapkan status bencana nasional peristiwa banjir bandang tanah longsor wilayah']"
0,469,0_negara_venezuela_internasional_pernyataan,"['negara', 'venezuela', 'internasional', 'pernyataan', 'pelanggaran', 'hukum', 'menyebut', 'berani', 'mengkritik', 'presiden']","['heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil', 'heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil', 'heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil']"
1,300,1_nunggu_presiden__,"['nunggu', 'presiden', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['menghabisi koruptor ngapain nunggu presiden politisi emanglah rada rada', 'menghabisi koruptor ngapain nunggu presiden politisi emanglah rada rada', 'menghabisi koruptor ngapain nunggu presiden politisi emanglah rada rada']"
2,279,2_menteri_mengkritik_menlu_,"['menteri', 'mengkritik', 'menlu', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['dino mengkritik inkompetensi menlu betapa kompeten layaknya menteri ham', 'dino mengkritik inkompetensi menlu betapa kompeten layaknya menteri ham', 'dino mengkritik inkompetensi menlu betapa kompeten layaknya menteri ham']"
3,193,3_bantuan negaranya_indonesia toti_dewan malaysia_malaysia,"['bantuan negaranya', 'indonesia toti', 'dewan malaysia', 'malaysia', 'marah bantuan', 'menteri indonesia', 'malaysia marah', 'maksudnya anggota', 'indonesia', 'menteri']","['anggota dewan malaysia marah bantuan negaranya dianggap sebelah mata menteri indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan negaranya dianggap sebelah mata menteri indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan negaranya dianggap sebelah mata menteri indonesia toti kayaknya maksudnya']"
4,118,4_prabowo_berani_presiden_,"['prabowo', 'berani', 'presiden', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['diskusi diaspora amsterdam paris presiden tdk berani bersihkan jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani bersihkan jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani bersihkan jokowi kapolri allah prabowo jokowi sigit']"
5,108,5_kepala_ambisi_prabowo subianto_subianto,"['kepala', 'ambisi', 'prabowo subianto', 'subianto', 'presiden prabowo', 'akal', 'prabowo', 'presiden', 'menlu', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['ambisi presiden prabowo subianto mengganti sistem pemilihan kepala daerah tinggal selangkah politikus menyusun skenario mengegolkannya tempo ruupemilu pilkada', 'ambisi presiden prabowo subianto mengganti sistem pemilihan kepala daerah tinggal selangkah politikus menyusun skenario mengegolkannya tempo ruupemilu pilkada', 'ambisi presiden prabowo subianto mengganti sistem pemilihan kepala daerah tinggal selangkah politikus menyusun skenario mengegolkannya tempo ruupemilu pilkada']"
6,107,6_presiden_aceh__,"['presiden', 'aceh', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['mohon maaf pembenci presiden', 'mohon maaf pembenci presiden', 'mohon maaf pembenci presiden']"
7,82,7_program_banten_presiden_,"['program', 'banten', 'presiden', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program', 'polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program', 'polresta tangerang evaluasi ladang jagung terbengkalai ditumbuhi rumput liar desa bantarpanjang kecamatan tigaraksa kabupaten tangerang banten ladang jagung diresmikan wakil presiden gibran rakabuming raka program']"
8,69,8_prabowo_presiden prabowo_bencana_indonesia,"['prabowo', 'presiden prabowo', 'bencana', 'indonesia', 'presiden', 'menyebut', 'negara presiden', 'bandang tanah', 'kabinet paripurna', 'bencana banjir']","['presiden prabowo waspada kekuatan indonesia kuat prabowo narasi menyebut pemerintah hadir bencana sumatra presiden prabowo menilai anggapan bersumber', 'presiden prabowo waspada kekuatan indonesia kuat prabowo narasi menyebut pemerintah hadir bencana sumatra presiden prabowo menilai anggapan bersumber', 'presiden prabowo waspada kekuatan indonesia kuat prabowo narasi menyebut pemerintah hadir bencana sumatra presiden prabowo menilai anggapan bersumber']"
