Topic,Count,Name,Representation,Representative_Docs
-1,1000,-1_prabowo_presiden prabowo_bencana_pemerintah,"['prabowo', 'presiden prabowo', 'bencana', 'pemerintah', 'indonesia', 'banjir', 'negara', 'warga terdampak', 'penanganan bencana', 'negara presiden']","['presiden prabowo subianto mengaku dihubungi kepala negara menawarkan bantuan penanganan bencana banjir bandang tanah longsor aceh sumatera utara sumatera barat pernyataan disampaikannya sidang kabinet paripurna istana negara', 'presiden prabowo subianto mengaku dihubungi kepala negara menawarkan bantuan penanganan bencana banjir bandang tanah longsor aceh sumatera utara sumatera barat pernyataan disampaikannya sidang kabinet paripurna istana negara', 'presiden prabowo subianto mengaku dihubungi kepala negara menawarkan bantuan penanganan bencana banjir bandang tanah longsor aceh sumatera utara sumatera barat pernyataan disampaikannya sidang kabinet paripurna istana negara']"
0,3697,0_presiden prabowo_bencana_rekonstruksi pascabencana_banjir,"['presiden prabowo', 'bencana', 'rekonstruksi pascabencana', 'banjir', 'pasca bencana', 'pulihkan infrastruktur', 'sumatera', 'warga terdampak', 'bangkit pasca', 'prabowo pulihkan']","['presiden prabowo daerah terdampak prabowo bangun rekonstruksi pascabencana pemerintah', 'presiden prabowo daerah terdampak banjir longsor kali ketiga prabowo bangun rekonstruksi pascabencana pulihkan rumah listrik jalan ajak gotong royong', 'prabowo bangun presiden prabowo ketiga kalinya lokasi banjir longsor rekonstruksi pascabencana negara hadir mengganti rumah memulihkan listrik jalan infrastruktur mengajak rakyat gotong royong bangkit']"
1,759,1_kerja_mama_kek_pulang kerja,"['kerja', 'mama', 'kek', 'pulang kerja', 'kerja keras', 'sampe', 'dapet', 'besok', 'anak', 'trump prabowo']","['kerja', 'kerja rodi', 'kerja']"
2,439,2_indonesia maju_indonesia_netanyahu_presiden indonesia,"['indonesia maju', 'indonesia', 'netanyahu', 'presiden indonesia', 'rakyat indonesia', 'indonesia presiden', 'maduro presiden', 'jokowi', 'indonesia negara', 'indonesia indonesia']","['selamat semoga melangkah semangat menyala indonesia maju', 'selamat semoga melangkah semangat menyala indonesia maju', 'selamat semoga melangkah semangat menyala indonesia maju']"
3,334,3_sikap menentang_pernyataan venezuela_serikat sungkan_takut mengkritik,"['sikap menentang', 'pernyataan venezuela', 'serikat sungkan', 'takut mengkritik', 'thdp iraq', 'negara penurut', 'menyebut amerika', 'mengorbankan prinsipil', 'mengkritik kawan', 'menentang invasi']","['heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil', 'heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil', 'heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil']"
4,279,4_menteri ham_layaknya_inkompetensi_dino,"['menteri ham', 'layaknya', 'inkompetensi', 'dino', 'betapa', 'kompeten', 'ham', 'menteri', 'mengkritik', 'menlu']","['dino mengkritik inkompetensi menlu betapa kompeten layaknya menteri ham', 'dino mengkritik inkompetensi menlu betapa kompeten layaknya menteri ham', 'dino mengkritik inkompetensi menlu betapa kompeten layaknya menteri ham']"
5,230,5_presiden politisi_nunggu presiden_politisi_koruptor,"['presiden politisi', 'nunggu presiden', 'politisi', 'koruptor', 'presiden', 'presiden sulit', 'pemberantasan korupsi', 'penegakan hukum', 'kepemimpinan presiden', 'krisis']","['menghabisi koruptor ngapain nunggu presiden politisi emanglah rada rada', 'menghabisi koruptor ngapain nunggu presiden politisi emanglah rada rada', 'menghabisi koruptor ngapain nunggu presiden politisi emanglah rada rada']"
6,222,6_maksudnya_anggota dewan_negaranya_marah,"['maksudnya', 'anggota dewan', 'negaranya', 'marah', 'malaysia', 'dewan', 'mata', 'anggota', 'menteri', 'indonesia']","['anggota dewan malaysia marah bantuan negaranya dianggap sebelah mata menteri indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan negaranya dianggap sebelah mata menteri indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan negaranya dianggap sebelah mata menteri indonesia toti kayaknya maksudnya']"
7,133,7_sikap menentang_pernyataan venezuela_standar menyebut_serikat sungkan,"['sikap menentang', 'pernyataan venezuela', 'standar menyebut', 'serikat sungkan', 'pemain global', 'takut mengkritik', 'negara penurut', 'menyebut amerika', 'mengkritik kawan', 'menentang invasi']","['heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil', 'heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil', 'heran membaca pernyataan venezuela standar menyebut amerika serikat sungkan takut mengkritik kawan lakukan pelanggaran hukum internasional menlu sugiono bersuara dunia menunggu pandangan sbg pemain global south momen percaya sikap menentang invasi thdp iraq bebas aktif berani berpendirian bermitra dgn dgn negara manapun menjadikan negara penurut mengorbankan prinsipil']"
8,118,8_jokowi_paris_bersihkan_tdk berani,"['jokowi', 'paris', 'bersihkan', 'tdk berani', 'diaspora', 'presiden tdk', 'diskusi', 'tdk', 'prabowo', 'presiden']","['diskusi diaspora amsterdam paris presiden tdk berani bersihkan jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani bersihkan jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani bersihkan jokowi kapolri allah prabowo jokowi sigit']"
