Topic,Count,Name,Representation,Representative_Docs
-1,3004,-1_presiden_kerja_aja_gak,"['presiden', 'kerja', 'aja', 'gak', 'ada', 'jadi', 'nya', 'ga', 'ya', 'tapi']","['meski listrik masih ada kendala krn banjir amp medan berat presiden prabowo bilang masyarakat tegar dan sabar beliau juga udah siapin rencana alokasi perumahan mari kita dukung terus pemerintah dalam proses pemulihan ini bersama pasti bisa bangkit zonauang', 'udah dr kemaren mereka ngomong ngak mampu mereka sampe nulis tangan pake ttd tapi itu presiden bilang kita masih mampu sampe bantuan luar negeri kena pajak bantuan orang harus ijin mensos presiden malah pergi keluar negeri coba update berita ya pak', 'bahkan lebih awal dari itu sih yang dulu pada milih dia kalo punya otak dan hati nurani juga harusnya tau dari awal ini orang gak ada spek jadi presiden']"
0,515,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['prabowo bangun kembali untuk rakyat presiden prabowo kembali ke lokasi bencana menegaskan rekonstruksi pascabencana rumah warga diganti negara listrik dan jalan dipulihkan gotong royong jadi kekuatan', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,236,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,154,2_rakyatnya_jadi_dia_ada,"['rakyatnya', 'jadi', 'dia', 'ada', 'presiden', 'orang', 'ga', 'ya', 'mana', 'bukan']","['kenapa sih presiden ky ga bisa mencari informasi sendiri kalo badan dan tenaganya ga kuat buat sekadar cari info sekecil inimah udah aja ongkang kaki menikmati hari tua tapi kyknya ga bisa ya bisnisnya kan lancar kalo dia yg ngatur negara', 'ini aku suka beliau karena dia sangat mengayomi pokoknya ini orang kalo jadi presiden langsung maju dah negaranya hidup ume selain itu dia tuh suka berkebun ramah juga orangnya pokoknya ini minusnya ga nyata doang', 'orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin']"
3,133,3_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'subianto', 'semuatanganibencana']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
4,120,4_indonesia_rakyat_jadi_presiden,"['indonesia', 'rakyat', 'jadi', 'presiden', 'merdeka', 'indonesiaemas', 'tapi', 'mereka', 'sejarah', 'punya']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
5,92,5_penanganan_bencana_terdampak_percepatan,"['penanganan', 'bencana', 'terdampak', 'percepatan', 'terkendali', 'pastikan', 'cepat', 'sumatera', 'berjalan', 'huniankorbanbencana']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana']"
6,89,6_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'korban', 'warga', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
7,70,7_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
8,69,8_dino_inkompetensi_layaknya_betapa,"['dino', 'inkompetensi', 'layaknya', 'betapa', 'kompeten', 'ham', 'sedang', 'menjawab', 'anda', 'malah']","['pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham']"
